1	“只要有恒心”的下一句是什么？	 必定有钱剩	 铁柱磨成针	 天下无敌人	 点石可成金	2
2	《聊斋志异》的作者是谁？	 曹雪芹	 蒲松龄	 施耐庵	 笑笑生	2
3	提出著名的韦达公式的数学家韦达，是哪国人？	 英国	 法国	 德国	 俄国	2
4	尤西比奥是哪个国家的球星？	 西班牙	 南斯拉夫	 法国	 葡萄牙	4
5	《尝试集》的作者是谁？	 鲁迅	 胡适	 郭沫若	 矛盾	2
6	Windows.Net技术的核心是什么？	 提供电子商务	 实现分布式计算	 新开主页更方便	 提供额外的网络安全性	1
7	我们常称风韵犹存的中年妇女为“半老徐娘”，这个“徐娘”原是指一位？	 王妃	 农家妇女	 女将军	 明代徐文长的母亲	1
8	“法律面前人人平等”是什么人最先提出来的：	 中国人	 法国人	 英国人	 美国人	2
9	鱼露是一种：	 咸味调料	 甜味调料	 酸味调料	 鲜味调料	1
10	下列食品中，哪个含钙量最高？	 骨头汤	 水果	 葡萄糖	 奶及奶制品	2
11	铁达尼号游轮是哪一年沉没的？	 1910年	 1911年	 1912年	 1913年	3
12	世界最著名的十大海峡中，位于印度南端和斯里兰卡岛北部之间的是什么海峡？	 保克海峡	 白令海峡	 马六甲海峡	 对马海峡	1
13	世界最著名的十大海峡中，位于前苏联东部与美国西部之间的是什么海峡？	 白令海峡	 马六甲海峡	 保克海峡	 对马海峡	1
14	歌德写《浮士德》用了多长时间？	 30年	 40年	 50年	 60年	4
15	以下哪部戏剧的作者是明朝人？	 《汉宫秋》	 《赵氏孤儿》	 《娇红记》	 《精忠谱》	3
16	2002世界杯韩国同意大利的比赛中谁顶入了一个金球？	 朴智星	 安贞焕	 崔龙洙	 金泰映	2
17	2002日韩世界杯第一次点球大战中西班牙门将共扑出几个球？	1	2	3	4	2
18	《浪客剑心》中绯村剑心脸上竖着的伤疤是谁划上的？	 雪代巴	 雪代缘	 雪代巴的未婚夫	 自己	3
19	四大名亭中的陶然亭是因为谁的诗句得名的？	 欧阳修	 白居易	 陶渊明	 杜牧	2
20	人的五感中那个感觉反应最快？	 嗅觉	 视觉	 听觉	 味觉	4
21	下列官名中那个不是唐朝的官名？	 尚书	 黄门	 巡按	 殿中	4
22	巴金几岁写成长篇小说《家》？	 27岁	 28岁	 29岁	 30岁	1
23	十岁以下的小娃娃就当了皇帝的，在中国历史上共有几个？	 19位	 22位	 25位	 29位	4
24	在位时间最短的皇帝是东汉的刘贺，他只当了多久的皇帝就被废除了？	 25天	 26天	 27天	 28天	3
25	有“世界花城”之称的是那个城市？	 纽约	 伦敦	 巴黎	 华盛顿	3
26	世界上最早的银行始建于哪个国家？	 意大利	 美国	 法国	 瑞士	1
27	98年法国世界杯冠亚军比分是多少？	 1:0	 2:1	 3:0	 3:2	3
28	“垂帘听政”始于何时？	 宋朝	 元朝	 唐朝	 清朝	3
29	冰球十九世纪七十年代起源于那个国家？	 美国	 英国	 加拿大	 爱尔兰	3
30	排球1895年始于那个国家？	 日本	 英国	 荷兰	 美国	4
31	乒乓球十九世纪始于那个国家？	 中国	 瑞典	 法国	 英国	4
32	伟大的文学家、革命家鲁迅先生逝世于哪一年？	1936	1937	1938	1939	1
33	历史剧《屈原》是谁的作品？	 胡适	 郭沫若	 矛盾	 郁达夫	2
34	小说《沉沦》是谁的作品？	 矛盾	 郁达夫	 郭沫若	 老舍	2
35	下列哪部小说是郁达夫先生的作品？	 锻炼	 南迁	 子夜	 寒冬	2
36	“碧云天，黄叶地，北雁南飞”语出：	 《墙头马上》	 《窦娥冤》	 《西厢记》	 《牡丹亭》	3
37	一个帝王陵区只有一个主神道，一般修在谁的陵前？	 第一个埋葬者	 年龄最大者	 统治时间最长者	 国力最昌盛者	1
38	古时代，地中海沿岸地区以一种豆角树上的一部分作为计量黄金重量的测量标准。请问：其所用的是豆角树的哪一部分？	 树根	 豆夹	 树叶	 豆仁	4
39	“杵臼交”多用来指不计身份而结交的朋友。这里的“杵臼”在古代是用来做什么的？	 捣米	 打水	 磨面	 榨油	1
40	欧元什么时候正式诞生？	 1999年1月1日	 1999年7月1日	 1999年12月1日	 1999年2月1日	1
41	目前观测到的距地球最近的一颗恒星位于：	 织女座	 仙女座	 半人马座	 大熊座	3
